Spelling, nchar, LogFreq_Zipf, DomPoS,,,
0, , , ,,,
0, , , ,,,
a,1,7.38, determiner,,,
a&e,3,3.82, name,,,
a&m,3,2.37, name,,,
a&p,3,1.39, name,,,
a&r,3,2.31, name,,,
a&s,3,1.47, name,,,
a'ight,6,1.77, name,,,
a'levels,8,1.17, noun,,,
a'right,7,1.7, name,,,
a-ha,4,3.86, noun,,,
a-half,6,2.91, adjective,,,
a-hem,5,2.98, noun,,,
a-level,7,3.38, adjective,,,
a-levels,8,3.3, noun,,,
a-list,6,2.92, adjective,,,
a-team,6,2.95, noun,,,
a.a.,4,1.3, name,,,
a.d.,4,1.6, name,,,
a.e.,4,1.17, name,,,
a.j.,4,1.39, name,,,
a.k.a.,6,1.3, name,,,
a.m.,4,1.97, noun,,,
a00,3,1.3, number,,,
a1,2,3.2, name,,,
a10,3,2.24, name,,,
a11,3,2.3, name,,,
a113,4,1.39, name,,,
a12,3,2.39, name,,,
a120,4,1.65, name,,,
a127,4,1.47, name,,,
a13,3,1.84, name,,,
a130,4,1.54, name,,,
a14,3,2.48, name,,,
a140,4,1.17, name,,,
a143,4,1.17, number,,,
a15,3,1.39, name,,,
a16,3,1.39, name,,,
a160,4,1.17, name,,,
a17,3,1.39, name,,,
a171,4,1.3, name,,,
a178,4,1.17, noun,,,
a18,3,1.95, name,,,
a180,4,1.3, name,,,
a19,3,2.14, name,,,
a1a,3,1.3, name,,,
a1m,3,1.54, name,,,
a2,2,2.44, name,,,
a20,3,1.87, name,,,
a21,3,1.77, name,,,
a23,3,1.97, name,,,
a24,3,1.39, name,,,
a25,3,1.3, name,,,
a259,4,1.3, name,,,
a26,3,1.39, name,,,
a262,4,1.84, name,,,
a27,3,2.36, name,,,
a272,4,1.3, name,,,
a273,4,1.17, name,,,
a29,3,1.17, name,,,
a2s,3,1.3, noun,,,
a3,2,2.74, name,,,
a30,3,2.2, name,,,
a303,4,2.56, name,,,
a31,3,1.7, name,,,
a320,4,1.6, name,,,
a330,4,1.54, name,,,
a34,3,1.97, name,,,
a35,3,1.84, name,,,
a350,4,1.87, name,,,
a36,3,1.54, name,,,
a37,3,1.17, name,,,
a38,3,2.2, name,,,
a380,4,2.65, name,,,
a380s,5,1.93, noun,,,
a39,3,1.54, name,,,
a3m,3,1.47, name,,,
a4,2,2.84, name,,,
a40,3,2.3, name,,,
a400,4,1.6, name,,,
a400m,5,1.93, name,,,
a4042,5,1.17, name,,,
a406,4,1.54, name,,,
a41,3,1.77, name,,,
a417,4,1.17, name,,,
a4260,5,1.17, name,,,
a429,4,1.17, name,,,
a43,3,1.17, name,,,
a435,4,1.17, name,,,
a44,3,1.39, name,,,
a449,4,1.17, name,,,
a45,3,1.84, name,,,
a452,4,1.17, name,,,
a453,4,1.81, name,,,
a456,4,1.17, name,,,
a46,3,1.84, name,,,
a465,4,1.54, name,,,
a47,3,1.6, name,,,
a470,4,2.06, name,,,
a48,3,1.95, name,,,
a487,4,1.17, name,,,
a49,3,1.3, name,,,
a4e,3,2.73, name,,,
a5,2,2.73, noun,,,
a50,3,1.47, name,,,
a500,4,1.17, number,,,
a51,3,1.3, name,,,
a52,3,1.74, name,,,
a530,4,1.3, name,,,
a542,4,1.17, name,,,
a55,3,2.14, name,,,
a57,3,1.74, name,,,
a59,3,1.77, name,,,
a591,4,1.39, name,,,
a6,2,2.39, name,,,
a60,3,1.47, name,,,
a61,3,1.17, name,,,
a614,4,1.54, name,,,
a628,4,1.39, name,,,
a63,3,1.9, name,,,
a64,3,1.54, name,,,
a65,3,1.54, name,,,
a66,3,1.87, name,,,
a68,3,1.7, name,,,
a688,4,1.17, name,,,
a69,3,1.17, name,,,
a7,2,1.47, name,,,
a75,3,1.3, name,,,
a8,2,1.95, name,,,
a80,3,1.74, name,,,
a8011,5,1.17, name,,,
a82,3,1.54, name,,,
a821,4,1.17, number,,,
a83,3,1.47, name,,,
a830,4,1.39, name,,,
a9,2,2.41, name,,,
a90,3,2.09, name,,,
a92,3,1.3, name,,,
aa,2,3.83, name,,,
aaa,3,3.25, noun,,,
aaaa,4,2.7, noun,,,
aaaaa,5,2.16, name,,,
aaaaaa,6,1.81, name,,,
aaaaaaa,7,1.6, name,,,
aaaaaaaa,8,1.17, noun,,,
aaaaaaaaaa,10,1.3, name,,,
